sample_id,donor_id,author_label,group,batch,chemistry,metadata_source_url,matrix_url,matrix_bytes,matrix_sha256,features_url,features_bytes,features_sha256,barcodes_url,barcodes_bytes,barcodes_sha256
GSM8700986,GSM8700986,Patients-Late_group#1,Late,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_L1_matrix.mtx.gz,51387049,e2b353cd30499d4493e957f632cb2d0229443944b134a8264bd8a63bf5747e9a,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_L1_barcodes.tsv.gz,43086,8f7456931873924828e99092c32dd266ef5fc84a68f540b5f1b4ba9fcab93453
GSM8700987,GSM8700987,Patients-Late_group#2,Late,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_L2_matrix.mtx.gz,50091726,7cd9626954294602b9db9a37f5ae9d1cae0090b0badafb80f2be65042084bd31,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_L2_barcodes.tsv.gz,48091,3dea4b9e3ddf9170443b1b2dcb616568843b5c72fb558c3ac549e94770b3d6cf
GSM8700988,GSM8700988,Patients-Late_group#3,Late,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_L3_matrix.mtx.gz,66375414,9c6ba0a84285144dad038c92a4287e852e8c04b54d3df9801e83476b0c5aa8e0,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_L3_barcodes.tsv.gz,43911,1659c8db1df30ad6512703c9d8959532817f93719a7ef11d79ad60b7aaf3ae43
GSM8700989,GSM8700989,Patients-Late_group#4,Late,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_L4_matrix.mtx.gz,66096300,ff6b66c8e47b675d4ba43073c9356581c9bbe22a93d05a51dd7a5e014c9fd5c8,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_L4_barcodes.tsv.gz,44251,8fe961f08702b800970a6093d42cbfe74b6e477e6613a5448df15597755c1095
GSM8700990,GSM8700990,Patients-Late_group#5,Late,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_L5_matrix.mtx.gz,85853200,903189fc56c744a481b191674022d28a3f654aafc9cbfbb3603bc6a17a8af6bf,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_L5_barcodes.tsv.gz,65166,69bf31162b6d4fefcec34ffffd1839c982835e3e8ef24e650a34179d8748d52c
GSM8700991,GSM8700991,Patients-Late_group#6,Late,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_L6_matrix.mtx.gz,56964368,50fed80766028c45e805264ac27307d11c1304c08816da2e351577f612c899c0,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_L6_barcodes.tsv.gz,35771,ce5435d8e28aae7be4ed44877839cc37838e22c8e8118f444073cb46161a9343
GSM8700992,GSM8700992,Patients-Early_group#1,Early,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_E1_matrix.mtx.gz,56026350,6879a54c13ca5a4c8953a09d4fc55e7a4cb369c940b92bfe61efefefb9a32e37,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_E1_barcodes.tsv.gz,47203,ddb44c4e6fd82279562ce5c0ebe1a8aba407ef9bfe817cd3b918de6cf978d0da
GSM8700993,GSM8700993,Patients-Early_group#2,Early,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_E2_matrix.mtx.gz,54978354,a45020a563a2ff7ca535ae6b59682f212d35ca7bb264a5c9bcd7dcae311e3aa2,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_E2_barcodes.tsv.gz,46813,954524629971b8aa8ba52694e71a532faae793aaf6d73acf683cd2f6a107007b
GSM8700994,GSM8700994,Patients-Early_group#3,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_E3_matrix.mtx.gz,42787501,f9798b0aad9e8e3d2cc15b9cffbc03da06af7ad9c92f003c10060539c8a43155,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_E3_barcodes.tsv.gz,29627,063772c0c6c345dff2d77f33afaee5d1e06b721d447543ceec1d22ef47fa388d
GSM8700995,GSM8700995,Patients-Early_group#4,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_E4_matrix.mtx.gz,60362002,45432e6486fd22d0c2af754fc4166f4bcbd37c7f114e303aa4007e5a7067b07a,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_E4_barcodes.tsv.gz,43717,603275655ce8ac95899751446736904c3dd5057eaf3fd8224a0fabbb86aa54ef
GSM8700996,GSM8700996,Patients-Early_group#5,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700996/suppl/GSM8700996_E5_matrix.mtx.gz,72980342,965066b291bd4e4f64a7849531192d0e6b802830fc17a4f26ee1b98983720aa5,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700996/suppl/GSM8700996_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700996/suppl/GSM8700996_E5_barcodes.tsv.gz,46657,8acb0f0a10ed1d8db5957ba6989d7c853e55f3d56652794d64dbfba65d761f40
GSM8700997,GSM8700997,Patients-Early_group#6,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700997/suppl/GSM8700997_E6_matrix.mtx.gz,65082349,31a145a34068655755aca8c1704f9e4daeeac43b873c67dd8c88ba0960e2d248,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700997/suppl/GSM8700997_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700997/suppl/GSM8700997_E6_barcodes.tsv.gz,42911,24f67e81caa8c114f136fd595405b6087c52a70ce5404458d958e8410180dc44
GSM8700998,GSM8700998,Patients-Early_group#7,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700998/suppl/GSM8700998_E7_matrix.mtx.gz,67535144,6bb7eff7c980b26ec33963650eb5021faa27e3b246b6a212bd5011b657a81d6c,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700998/suppl/GSM8700998_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700998/suppl/GSM8700998_E7_barcodes.tsv.gz,44492,584b5b8bb0498dfc1738ec61f8c7939ce9dfd392abcbe62b887f1cbd8515f921
GSM8700999,GSM8700999,Patients-Early_group#8,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700999/suppl/GSM8700999_E8_matrix.mtx.gz,77585814,629837f677d6f1183777b342199d91f7e4b1977ed7054c91aa50d47174f10aeb,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700999/suppl/GSM8700999_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700999/suppl/GSM8700999_E8_barcodes.tsv.gz,47480,dbba2a774aec208a66f703348334f399ca5c5bd2b90827373d0e7ca7713e67ac
GSM8701000,GSM8701000,Patients-Early_group#9,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701000/suppl/GSM8701000_E9_matrix.mtx.gz,64118529,0615e649556ac774f80c871e5f478a91158412f8fb717147084defe7186df651,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701000/suppl/GSM8701000_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701000/suppl/GSM8701000_E9_barcodes.tsv.gz,38526,819f339e98f6cda208a5a9d667cf2eff8e439578b1fc04b3cc7c2305fd98fc07
GSM8701001,GSM8701001,Patients-Early_group#10,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701001/suppl/GSM8701001_E10_matrix.mtx.gz,84252144,bb99cdd0be79d4a3eb836747082215d189a107930ca283a124a673f30fd18b22,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701001/suppl/GSM8701001_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701001/suppl/GSM8701001_E10_barcodes.tsv.gz,49796,db8e50c89c1b1a919d4c6b25a7afca77e8d795c1e60f51413066b19e6e5e10f9
GSM8701002,GSM8701002,Patients-Early_group#11,Early,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701002/suppl/GSM8701002_E11_matrix.mtx.gz,67381355,d5de7a35b88658b2c53fce3aedd33c31b0dec9c462dc67ef0bbab57641038269,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701002/suppl/GSM8701002_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701002/suppl/GSM8701002_E11_barcodes.tsv.gz,45443,c7dc2b853d51f14e407f76e1835ac96c506f7c68645695dabe57279ee7fbee84
GSM8701003,GSM8701003,Healthy_group#1,Healthy,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701003/suppl/GSM8701003_H1_matrix.mtx.gz,45776315,188812886a109c59dc6993a24742782de949af2ee0e8d11a4f29a227fd136dc3,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701003/suppl/GSM8701003_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701003/suppl/GSM8701003_H1_barcodes.tsv.gz,41472,d56faccef22ea2805b9d4a391a8e8cf5ae0a6f126f3bb625aa86c77fae3745df
GSM8701004,GSM8701004,Healthy_group#2,Healthy,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701004/suppl/GSM8701004_H2_matrix.mtx.gz,36510050,5603ddf84d529b7ff4bbdf42f31952dde8ac92b30d627cf915fed149225c486a,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701004/suppl/GSM8701004_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701004/suppl/GSM8701004_H2_barcodes.tsv.gz,34370,33c4154a2fbda9770bf069983280505cece9a11ea61a5a3bf941973a917354b8
GSM8701005,GSM8701005,Healthy_group#3,Healthy,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701005/suppl/GSM8701005_H3_matrix.mtx.gz,47243561,b4cbd701b604eec00d9a063570201da07a1e3b8abe0f53b1ae2f044d0350f742,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701005/suppl/GSM8701005_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701005/suppl/GSM8701005_H3_barcodes.tsv.gz,42410,3055c12be16a6866ff1ba2417abadc96f7c1ca4d730bd50d5c89200ca46f5c94
GSM8701006,GSM8701006,Healthy_group#4,Healthy,First,5prime_v1.1,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701006/suppl/GSM8701006_H4_matrix.mtx.gz,52950270,f59fde2a9a590f3ce2250fa60319a5ce25bd46454688b93d32586612d83970c2,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701006/suppl/GSM8701006_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701006/suppl/GSM8701006_H4_barcodes.tsv.gz,49759,7d0026eec44fb580e1854e1208e7bede59ca42d03d2ec84f273285dc32b1f9f0
GSM8701007,GSM8701007,Healthy_group#5,Healthy,Second,5prime_v2.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285335/matrix/GSE285335_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701007/suppl/GSM8701007_H5_matrix.mtx.gz,63664067,633c44b80804803fdbf2220421355c4f8af36f84dc24d71d3543487b50566785,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701007/suppl/GSM8701007_features.tsv.gz,252981,079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8701nnn/GSM8701007/suppl/GSM8701007_H5_barcodes.tsv.gz,41359,5f9773362e7d925f2b9b32dac12054428e090bbbe85021802fed880a2cdac47d
