source_row	gene_id	gene_symbol	feature_type
10397	AC116362.2	AC116362.2	Gene Expression
10452	AC116366.1	AC116366.1	Gene Expression
10451	AC116366.2	AC116366.2	Gene Expression
28808	AC116407.1	AC116407.1	Gene Expression
28807	AC116407.2	AC116407.2	Gene Expression
7153	AC116424.1	AC116424.1	Gene Expression
10269	AC116428.1	AC116428.1	Gene Expression
30441	AC116447.1	AC116447.1	Gene Expression
19209	AC116456.1	AC116456.1	Gene Expression
19382	AC116534.1	AC116534.1	Gene Expression
19255	AC116535.1	AC116535.1	Gene Expression
28009	AC116552.1	AC116552.1	Gene Expression
8934	AC116563.1	AC116563.1	Gene Expression
7856	AC116565.1	AC116565.1	Gene Expression
3432	AC116609.1	AC116609.1	Gene Expression
3431	AC116609.2	AC116609.2	Gene Expression
3430	AC116609.3	AC116609.3	Gene Expression
8163	AC116611.1	AC116611.1	Gene Expression
8001	AC116612.1	AC116612.1	Gene Expression
9234	AC116616.1	AC116616.1	Gene Expression
9179	AC116634.1	AC116634.1	Gene Expression
8067	AC116651.1	AC116651.1	Gene Expression
36337	AC116666.1	AC116666.1	Gene Expression
27748	AC116667.1	AC116667.1	Gene Expression
27750	AC116667.2	AC116667.2	Gene Expression
26294	AC116903.1	AC116903.1	Gene Expression
26293	AC116903.2	AC116903.2	Gene Expression
25858	AC116913.1	AC116913.1	Gene Expression
28193	AC116914.1	AC116914.1	Gene Expression
28191	AC116914.2	AC116914.2	Gene Expression
22820	AC117373.1	AC117373.1	Gene Expression
22821	AC117373.2	AC117373.2	Gene Expression
22346	AC117377.1	AC117377.1	Gene Expression
7196	AC117382.2	AC117382.2	Gene Expression
7251	AC117383.1	AC117383.1	Gene Expression
7336	AC117386.1	AC117386.1	Gene Expression
7334	AC117386.2	AC117386.2	Gene Expression
7373	AC117394.2	AC117394.2	Gene Expression
7333	AC117395.1	AC117395.1	Gene Expression
7063	AC117422.1	AC117422.1	Gene Expression
6889	AC117430.1	AC117430.1	Gene Expression
6860	AC117435.1	AC117435.1	Gene Expression
7558	AC117453.1	AC117453.1	Gene Expression
6801	AC117460.1	AC117460.1	Gene Expression
6747	AC117461.1	AC117461.1	Gene Expression
6744	AC117462.1	AC117462.1	Gene Expression
6761	AC117464.1	AC117464.1	Gene Expression
7550	AC117465.1	AC117465.1	Gene Expression
7757	AC117469.1	AC117469.1	Gene Expression
6805	AC117473.1	AC117473.1	Gene Expression
7098	AC117480.1	AC117480.1	Gene Expression
6736	AC117481.1	AC117481.1	Gene Expression
7050	AC117488.1	AC117488.1	Gene Expression
7804	AC117490.2	AC117490.2	Gene Expression
21637	AC117498.1	AC117498.1	Gene Expression
22855	AC117500.1	AC117500.1	Gene Expression
22857	AC117500.2	AC117500.2	Gene Expression
22852	AC117500.3	AC117500.3	Gene Expression
22854	AC117500.6	AC117500.6	Gene Expression
22744	AC117503.1	AC117503.1	Gene Expression
22746	AC117503.5	AC117503.5	Gene Expression
22366	AC117505.1	AC117505.1	Gene Expression
6898	AC117509.1	AC117509.1	Gene Expression
10115	AC117522.2	AC117522.2	Gene Expression
10184	AC117528.1	AC117528.1	Gene Expression
30385	AC117569.1	AC117569.1	Gene Expression
30386	AC117569.2	AC117569.2	Gene Expression
15657	AC117834.1	AC117834.1	Gene Expression
15656	AC117834.2	AC117834.2	Gene Expression
1369	AC117944.1	AC117944.1	Gene Expression
808	AC117945.1	AC117945.1	Gene Expression
807	AC117945.2	AC117945.2	Gene Expression
32074	AC118344.1	AC118344.1	Gene Expression
4108	AC118345.1	AC118345.1	Gene Expression
1495	AC118469.2	AC118469.2	Gene Expression
1342	AC118549.1	AC118549.1	Gene Expression
1535	AC118553.1	AC118553.1	Gene Expression
3331	AC118555.1	AC118555.1	Gene Expression
29713	AC118653.1	AC118653.1	Gene Expression
26372	AC118658.1	AC118658.1	Gene Expression
28207	AC118754.1	AC118754.1	Gene Expression
28211	AC118754.2	AC118754.2	Gene Expression
28406	AC118755.1	AC118755.1	Gene Expression
28404	AC118755.2	AC118755.2	Gene Expression
30450	AC118757.1	AC118757.1	Gene Expression
13621	AC118758.3	AC118758.3	Gene Expression
10370	AC119150.1	AC119150.1	Gene Expression
31155	AC119396.1	AC119396.1	Gene Expression
31156	AC119396.2	AC119396.2	Gene Expression
30999	AC119403.1	AC119403.1	Gene Expression
6635	AC119424.1	AC119424.1	Gene Expression
2737	AC119427.1	AC119427.1	Gene Expression
1119	AC119428.1	AC119428.1	Gene Expression
1118	AC119428.2	AC119428.2	Gene Expression
2833	AC119673.1	AC119673.1	Gene Expression
2835	AC119673.2	AC119673.2	Gene Expression
1165	AC119674.1	AC119674.1	Gene Expression
908	AC119676.1	AC119676.1	Gene Expression
895	AC119677.1	AC119677.1	Gene Expression
1246	AC119800.1	AC119800.1	Gene Expression
30725	AC119868.2	AC119868.2	Gene Expression
29944	AC120024.1	AC120024.1	Gene Expression
15268	AC120036.4	AC120036.4	Gene Expression
15267	AC120036.5	AC120036.5	Gene Expression
15402	AC120042.1	AC120042.1	Gene Expression
15404	AC120042.2	AC120042.2	Gene Expression
25290	AC120045.1	AC120045.1	Gene Expression
30489	AC120049.1	AC120049.1	Gene Expression
15664	AC120053.1	AC120053.1	Gene Expression
27122	AC120114.1	AC120114.1	Gene Expression
27118	AC120114.2	AC120114.2	Gene Expression
15031	AC120193.1	AC120193.1	Gene Expression
15472	AC120194.1	AC120194.1	Gene Expression
30528	AC120349.1	AC120349.1	Gene Expression
26508	AC120498.1	AC120498.1	Gene Expression
26511	AC120498.10	AC120498.10	Gene Expression
26515	AC120498.2	AC120498.2	Gene Expression
26507	AC120498.3	AC120498.3	Gene Expression
26516	AC120498.4	AC120498.4	Gene Expression
26509	AC120498.6	AC120498.6	Gene Expression
26505	AC120498.8	AC120498.8	Gene Expression
26517	AC120498.9	AC120498.9	Gene Expression
8869	AC121154.1	AC121154.1	Gene Expression
9137	AC121161.2	AC121161.2	Gene Expression
6454	AC121247.1	AC121247.1	Gene Expression
30363	AC121320.1	AC121320.1	Gene Expression
7244	AC121333.1	AC121333.1	Gene Expression
21526	AC121334.3	AC121334.3	Gene Expression
21524	AC121334.4	AC121334.4	Gene Expression
21607	AC121338.1	AC121338.1	Gene Expression
21608	AC121338.2	AC121338.2	Gene Expression
35477	AC121342.1	AC121342.1	Gene Expression
6677	AC121493.1	AC121493.1	Gene Expression
21747	AC121757.1	AC121757.1	Gene Expression
21746	AC121757.2	AC121757.2	Gene Expression
22156	AC121761.1	AC121761.1	Gene Expression
22152	AC121761.2	AC121761.2	Gene Expression
6596	AC121764.1	AC121764.1	Gene Expression
6592	AC121764.2	AC121764.2	Gene Expression
6593	AC121764.3	AC121764.3	Gene Expression
25542	AC122108.1	AC122108.1	Gene Expression
25541	AC122108.2	AC122108.2	Gene Expression
28547	AC122129.1	AC122129.1	Gene Expression
28544	AC122129.2	AC122129.2	Gene Expression
5816	AC122134.1	AC122134.1	Gene Expression
5553	AC122136.1	AC122136.1	Gene Expression
9367	AC122138.1	AC122138.1	Gene Expression
6291	AC122683.1	AC122683.1	Gene Expression
21868	AC122685.1	AC122685.1	Gene Expression
22769	AC122688.2	AC122688.2	Gene Expression
22770	AC122688.5	AC122688.5	Gene Expression
9792	AC122694.1	AC122694.1	Gene Expression
10226	AC122697.1	AC122697.1	Gene Expression
9901	AC122707.1	AC122707.1	Gene Expression
9479	AC122710.1	AC122710.1	Gene Expression
9477	AC122710.2	AC122710.2	Gene Expression
9402	AC122719.1	AC122719.1	Gene Expression
9403	AC122719.2	AC122719.2	Gene Expression
9401	AC122719.3	AC122719.3	Gene Expression
6226	AC123023.1	AC123023.1	Gene Expression
6225	AC123023.2	AC123023.2	Gene Expression
22272	AC123512.1	AC123512.1	Gene Expression
22298	AC123567.2	AC123567.2	Gene Expression
10162	AC123595.1	AC123595.1	Gene Expression
10163	AC123595.2	AC123595.2	Gene Expression
25323	AC123768.1	AC123768.1	Gene Expression
25319	AC123768.2	AC123768.2	Gene Expression
25317	AC123768.3	AC123768.3	Gene Expression
25316	AC123768.4	AC123768.4	Gene Expression
25321	AC123768.5	AC123768.5	Gene Expression
14897	AC123777.1	AC123777.1	Gene Expression
26288	AC123784.1	AC123784.1	Gene Expression
30810	AC123786.1	AC123786.1	Gene Expression
30811	AC123786.3	AC123786.3	Gene Expression
19053	AC123788.1	AC123788.1	Gene Expression
22119	AC123905.1	AC123905.1	Gene Expression
31677	AC123912.1	AC123912.1	Gene Expression
31679	AC123912.2	AC123912.2	Gene Expression
31678	AC123912.4	AC123912.4	Gene Expression
13568	AC124014.1	AC124014.1	Gene Expression
8556	AC124016.1	AC124016.1	Gene Expression
8554	AC124016.2	AC124016.2	Gene Expression
8316	AC124017.1	AC124017.1	Gene Expression
6349	AC124045.1	AC124045.1	Gene Expression
19032	AC124057.1	AC124057.1	Gene Expression
28594	AC124066.1	AC124066.1	Gene Expression
15160	AC124067.1	AC124067.1	Gene Expression
15161	AC124067.2	AC124067.2	Gene Expression
15162	AC124067.3	AC124067.3	Gene Expression
15163	AC124067.4	AC124067.4	Gene Expression
26230	AC124068.2	AC124068.2	Gene Expression
14927	AC124069.1	AC124069.1	Gene Expression
14935	AC124242.1	AC124242.1	Gene Expression
14936	AC124242.3	AC124242.3	Gene Expression
26272	AC124248.1	AC124248.1	Gene Expression
26271	AC124248.2	AC124248.2	Gene Expression
30809	AC124254.2	AC124254.2	Gene Expression
19269	AC124276.1	AC124276.1	Gene Expression
19270	AC124276.2	AC124276.2	Gene Expression
30054	AC124283.1	AC124283.1	Gene Expression
30053	AC124283.2	AC124283.2	Gene Expression
30052	AC124283.3	AC124283.3	Gene Expression
15152	AC124290.1	AC124290.1	Gene Expression
15153	AC124290.2	AC124290.2	Gene Expression
19326	AC124301.1	AC124301.1	Gene Expression
25239	AC124312.2	AC124312.2	Gene Expression
25240	AC124312.3	AC124312.3	Gene Expression
25241	AC124312.5	AC124312.5	Gene Expression
29940	AC124319.1	AC124319.1	Gene Expression
29941	AC124319.2	AC124319.2	Gene Expression
22173	AC124784.1	AC124784.1	Gene Expression
19320	AC124798.1	AC124798.1	Gene Expression
19318	AC124798.2	AC124798.2	Gene Expression
19323	AC124798.3	AC124798.3	Gene Expression
29736	AC124804.1	AC124804.1	Gene Expression
9429	AC124852.1	AC124852.1	Gene Expression
10169	AC124854.1	AC124854.1	Gene Expression
5894	AC124861.1	AC124861.1	Gene Expression
5893	AC124861.2	AC124861.2	Gene Expression
5892	AC124861.3	AC124861.3	Gene Expression
5898	AC124862.1	AC124862.1	Gene Expression
33893	AC124864.3	AC124864.3	Gene Expression
7483	AC124893.1	AC124893.1	Gene Expression
7789	AC124944.3	AC124944.3	Gene Expression
22286	AC124947.1	AC124947.1	Gene Expression
29122	AC125257.1	AC125257.1	Gene Expression
29125	AC125257.2	AC125257.2	Gene Expression
29739	AC125421.1	AC125421.1	Gene Expression
29742	AC125421.2	AC125421.2	Gene Expression
30824	AC125437.1	AC125437.1	Gene Expression
30825	AC125437.3	AC125437.3	Gene Expression
21109	AC125494.1	AC125494.1	Gene Expression
21114	AC125494.2	AC125494.2	Gene Expression
21112	AC125494.3	AC125494.3	Gene Expression
22584	AC125603.1	AC125603.1	Gene Expression
22583	AC125603.2	AC125603.2	Gene Expression
22582	AC125603.3	AC125603.3	Gene Expression
22581	AC125603.4	AC125603.4	Gene Expression
21662	AC125611.3	AC125611.3	Gene Expression
21663	AC125611.4	AC125611.4	Gene Expression
7593	AC125613.1	AC125613.1	Gene Expression
22654	AC125616.1	AC125616.1	Gene Expression
7584	AC125618.1	AC125618.1	Gene Expression
27882	AC125793.1	AC125793.1	Gene Expression
21037	AC125807.2	AC125807.2	Gene Expression
6239	AC126118.1	AC126118.1	Gene Expression
6642	AC126121.2	AC126121.2	Gene Expression
6640	AC126121.3	AC126121.3	Gene Expression
22267	AC126175.2	AC126175.2	Gene Expression
22448	AC126177.3	AC126177.3	Gene Expression
22253	AC126178.1	AC126178.1	Gene Expression
6995	AC126182.3	AC126182.3	Gene Expression
8769	AC126283.1	AC126283.1	Gene Expression
25781	AC126323.2	AC126323.2	Gene Expression
25782	AC126323.3	AC126323.3	Gene Expression
25784	AC126323.5	AC126323.5	Gene Expression
25783	AC126323.6	AC126323.6	Gene Expression
25189	AC126335.1	AC126335.1	Gene Expression
28627	AC126365.1	AC126365.1	Gene Expression
25224	AC126407.1	AC126407.1	Gene Expression
21353	AC126468.1	AC126468.1	Gene Expression
29278	AC126544.2	AC126544.2	Gene Expression
21957	AC126614.1	AC126614.1	Gene Expression
27994	AC126696.1	AC126696.1	Gene Expression
27996	AC126696.2	AC126696.2	Gene Expression
27993	AC126696.3	AC126696.3	Gene Expression
26899	AC126755.2	AC126755.2	Gene Expression
26898	AC126755.3	AC126755.3	Gene Expression
26863	AC126763.1	AC126763.1	Gene Expression
9430	AC126768.1	AC126768.1	Gene Expression
9431	AC126768.2	AC126768.2	Gene Expression
9428	AC126768.3	AC126768.3	Gene Expression
27653	AC126773.3	AC126773.3	Gene Expression
27656	AC126773.4	AC126773.4	Gene Expression
27654	AC126773.6	AC126773.6	Gene Expression
22708	AC127002.2	AC127002.2	Gene Expression
28773	AC127024.2	AC127024.2	Gene Expression
28772	AC127024.3	AC127024.3	Gene Expression
28775	AC127024.4	AC127024.4	Gene Expression
28776	AC127024.5	AC127024.5	Gene Expression
28777	AC127024.6	AC127024.6	Gene Expression
29630	AC127029.2	AC127029.2	Gene Expression
19594	AC127035.1	AC127035.1	Gene Expression
22891	AC127070.1	AC127070.1	Gene Expression
22892	AC127070.2	AC127070.2	Gene Expression
22591	AC127164.1	AC127164.1	Gene Expression
26991	AC127459.1	AC127459.1	Gene Expression
26990	AC127459.2	AC127459.2	Gene Expression
29951	AC127496.1	AC127496.1	Gene Expression
29955	AC127496.2	AC127496.2	Gene Expression
29949	AC127496.3	AC127496.3	Gene Expression
29950	AC127496.4	AC127496.4	Gene Expression
29954	AC127496.5	AC127496.5	Gene Expression
29953	AC127496.6	AC127496.6	Gene Expression
25294	AC127502.2	AC127502.2	Gene Expression
26286	AC127520.1	AC127520.1	Gene Expression
28206	AC127521.1	AC127521.1	Gene Expression
25277	AC127522.1	AC127522.1	Gene Expression
19055	AC127526.1	AC127526.1	Gene Expression
19057	AC127526.2	AC127526.2	Gene Expression
19058	AC127526.4	AC127526.4	Gene Expression
19056	AC127526.5	AC127526.5	Gene Expression
28558	AC127537.1	AC127537.1	Gene Expression
28512	AC127540.1	AC127540.1	Gene Expression
28510	AC127540.2	AC127540.2	Gene Expression
22094	AC127894.1	AC127894.1	Gene Expression
7461	AC128685.1	AC128685.1	Gene Expression
6935	AC128687.2	AC128687.2	Gene Expression
6938	AC128687.3	AC128687.3	Gene Expression
22182	AC128707.1	AC128707.1	Gene Expression
7827	AC128709.1	AC128709.1	Gene Expression
7826	AC128709.2	AC128709.2	Gene Expression
7828	AC128709.3	AC128709.3	Gene Expression
21355	AC129102.1	AC129102.1	Gene Expression
28362	AC129492.1	AC129492.1	Gene Expression
28360	AC129492.2	AC129492.2	Gene Expression
28368	AC129492.4	AC129492.4	Gene Expression
28088	AC129507.1	AC129507.1	Gene Expression
28089	AC129507.2	AC129507.2	Gene Expression
28090	AC129507.3	AC129507.3	Gene Expression
28087	AC129507.4	AC129507.4	Gene Expression
30027	AC129510.1	AC129510.1	Gene Expression
30028	AC129510.2	AC129510.2	Gene Expression
6829	AC129803.1	AC129803.1	Gene Expression
6757	AC129807.1	AC129807.1	Gene Expression
14718	AC129915.3	AC129915.3	Gene Expression
28658	AC129926.1	AC129926.1	Gene Expression
28657	AC129926.2	AC129926.2	Gene Expression
19380	AC130307.1	AC130307.1	Gene Expression
28780	AC130324.1	AC130324.1	Gene Expression
28779	AC130324.2	AC130324.2	Gene Expression
28782	AC130324.3	AC130324.3	Gene Expression
28129	AC130343.1	AC130343.1	Gene Expression
28125	AC130343.2	AC130343.2	Gene Expression
14895	AC130352.1	AC130352.1	Gene Expression
30067	AC130371.1	AC130371.1	Gene Expression
30069	AC130371.2	AC130371.2	Gene Expression
22818	AC130404.1	AC130404.1	Gene Expression
22819	AC130404.2	AC130404.2	Gene Expression
22183	AC130415.1	AC130415.1	Gene Expression
26918	AC130456.1	AC130456.1	Gene Expression
26920	AC130456.2	AC130456.2	Gene Expression
26923	AC130456.3	AC130456.3	Gene Expression
26922	AC130456.4	AC130456.4	Gene Expression
26924	AC130456.5	AC130456.5	Gene Expression
26988	AC130466.1	AC130466.1	Gene Expression
27969	AC130467.1	AC130467.1	Gene Expression
31213	AC130469.1	AC130469.1	Gene Expression
26844	AC130650.1	AC130650.1	Gene Expression
26843	AC130650.2	AC130650.2	Gene Expression
26876	AC130651.1	AC130651.1	Gene Expression
3599	AC130710.1	AC130710.1	Gene Expression
3622	AC130814.1	AC130814.1	Gene Expression
7144	AC130888.1	AC130888.1	Gene Expression
22575	AC130895.1	AC130895.1	Gene Expression
22861	AC131009.1	AC131009.1	Gene Expression
22859	AC131009.2	AC131009.2	Gene Expression
22863	AC131009.3	AC131009.3	Gene Expression
35464	AC131011.1	AC131011.1	Gene Expression
10784	AC131025.1	AC131025.1	Gene Expression
10786	AC131025.2	AC131025.2	Gene Expression
10779	AC131025.3	AC131025.3	Gene Expression
9242	AC131094.1	AC131094.1	Gene Expression
5939	AC131097.1	AC131097.1	Gene Expression
5940	AC131097.2	AC131097.2	Gene Expression
5942	AC131097.3	AC131097.3	Gene Expression
21680	AC131157.1	AC131157.1	Gene Expression
22603	AC131159.1	AC131159.1	Gene Expression
22601	AC131159.2	AC131159.2	Gene Expression
8964	AC131182.1	AC131182.1	Gene Expression
7279	AC131210.1	AC131210.1	Gene Expression
7460	AC131211.1	AC131211.1	Gene Expression
22882	AC131212.1	AC131212.1	Gene Expression
7628	AC131235.2	AC131235.2	Gene Expression
7627	AC131235.3	AC131235.3	Gene Expression
6857	AC131237.1	AC131237.1	Gene Expression
22605	AC131238.1	AC131238.1	Gene Expression
15101	AC131254.1	AC131254.1	Gene Expression
15103	AC131254.2	AC131254.2	Gene Expression
15102	AC131254.3	AC131254.3	Gene Expression
28655	AC131274.1	AC131274.1	Gene Expression
26825	AC131391.1	AC131391.1	Gene Expression
15982	AC131568.1	AC131568.1	Gene Expression
19444	AC131571.1	AC131571.1	Gene Expression
26777	AC131649.1	AC131649.1	Gene Expression
15316	AC131902.1	AC131902.1	Gene Expression
18955	AC131934.1	AC131934.1	Gene Expression
8606	AC131944.1	AC131944.1	Gene Expression
8230	AC131953.1	AC131953.1	Gene Expression
8227	AC131953.2	AC131953.2	Gene Expression
8937	AC131956.1	AC131956.1	Gene Expression
8935	AC131956.2	AC131956.2	Gene Expression
8936	AC131956.3	AC131956.3	Gene Expression
19043	AC131971.1	AC131971.1	Gene Expression
4028	AC132153.1	AC132153.1	Gene Expression
19234	AC132192.1	AC132192.1	Gene Expression
19235	AC132192.2	AC132192.2	Gene Expression
19476	AC132216.1	AC132216.1	Gene Expression
19022	AC132217.1	AC132217.1	Gene Expression
19021	AC132217.2	AC132217.2	Gene Expression
15579	AC132219.1	AC132219.1	Gene Expression
6764	AC132660.2	AC132660.2	Gene Expression
10727	AC132803.1	AC132803.1	Gene Expression
6141	AC132807.1	AC132807.1	Gene Expression
6142	AC132807.2	AC132807.2	Gene Expression
28654	AC132825.2	AC132825.2	Gene Expression
28652	AC132825.3	AC132825.3	Gene Expression
30035	AC132872.1	AC132872.1	Gene Expression
30029	AC132872.2	AC132872.2	Gene Expression
30032	AC132872.3	AC132872.3	Gene Expression
30033	AC132872.5	AC132872.5	Gene Expression
30040	AC132938.1	AC132938.1	Gene Expression
30042	AC132938.2	AC132938.2	Gene Expression
30047	AC132938.3	AC132938.3	Gene Expression
30046	AC132938.6	AC132938.6	Gene Expression
6742	AC133040.1	AC133040.1	Gene Expression
26786	AC133065.1	AC133065.1	Gene Expression
5307	AC133106.1	AC133106.1	Gene Expression
22137	AC133480.1	AC133480.1	Gene Expression
27244	AC133485.2	AC133485.2	Gene Expression
27242	AC133485.3	AC133485.3	Gene Expression
27241	AC133485.5	AC133485.5	Gene Expression
27240	AC133485.7	AC133485.7	Gene Expression
5929	AC133528.1	AC133528.1	Gene Expression
8870	AC133530.1	AC133530.1	Gene Expression
27930	AC133540.1	AC133540.1	Gene Expression
27080	AC133550.2	AC133550.2	Gene Expression
27083	AC133550.3	AC133550.3	Gene Expression
36592	AC133551.1	AC133551.1	Gene Expression
27026	AC133552.5	AC133552.5	Gene Expression
26774	AC133565.1	AC133565.1	Gene Expression
16011	AC133634.1	AC133634.1	Gene Expression
26231	AC133637.2	AC133637.2	Gene Expression
4363	AC133644.2	AC133644.2	Gene Expression
7085	AC133681.1	AC133681.1	Gene Expression
4878	AC133785.1	AC133785.1	Gene Expression
1320	AC133865.1	AC133865.1	Gene Expression
28078	AC133919.1	AC133919.1	Gene Expression
28079	AC133919.2	AC133919.2	Gene Expression
8133	AC133961.1	AC133961.1	Gene Expression
10899	AC134043.2	AC134043.2	Gene Expression
28001	AC134312.1	AC134312.1	Gene Expression
28002	AC134312.2	AC134312.2	Gene Expression
28000	AC134312.3	AC134312.3	Gene Expression
27999	AC134312.4	AC134312.4	Gene Expression
28003	AC134312.5	AC134312.5	Gene Expression
28005	AC134312.6	AC134312.6	Gene Expression
21259	AC134349.1	AC134349.1	Gene Expression
29673	AC134407.1	AC134407.1	Gene Expression
6723	AC134508.1	AC134508.1	Gene Expression
6722	AC134508.2	AC134508.2	Gene Expression
16068	AC134682.1	AC134682.1	Gene Expression
14787	AC134684.11	AC134684.11	Gene Expression
14788	AC134684.8	AC134684.8	Gene Expression
14789	AC134684.9	AC134684.9	Gene Expression
6417	AC134772.1	AC134772.1	Gene Expression
19545	AC134775.1	AC134775.1	Gene Expression
30813	AC134978.1	AC134978.1	Gene Expression
25205	AC134980.2	AC134980.2	Gene Expression
25203	AC134981.1	AC134981.1	Gene Expression
27949	AC135012.1	AC135012.1	Gene Expression
27950	AC135012.2	AC135012.2	Gene Expression
27951	AC135012.3	AC135012.3	Gene Expression
27182	AC135048.2	AC135048.2	Gene Expression
27187	AC135048.3	AC135048.3	Gene Expression
27193	AC135050.1	AC135050.1	Gene Expression
27192	AC135050.3	AC135050.3	Gene Expression
27195	AC135050.4	AC135050.4	Gene Expression
27201	AC135050.5	AC135050.5	Gene Expression
27202	AC135050.6	AC135050.6	Gene Expression
25197	AC135068.1	AC135068.1	Gene Expression
25202	AC135068.2	AC135068.2	Gene Expression
25198	AC135068.3	AC135068.3	Gene Expression
25199	AC135068.7	AC135068.7	Gene Expression
25200	AC135068.8	AC135068.8	Gene Expression
25201	AC135068.9	AC135068.9	Gene Expression
15917	AC135166.1	AC135166.1	Gene Expression
28378	AC135178.2	AC135178.2	Gene Expression
28382	AC135178.4	AC135178.4	Gene Expression
28379	AC135178.5	AC135178.5	Gene Expression
28374	AC135178.6	AC135178.6	Gene Expression
22033	AC135279.4	AC135279.4	Gene Expression
22825	AC135388.1	AC135388.1	Gene Expression
10570	AC135457.1	AC135457.1	Gene Expression
6630	AC135507.1	AC135507.1	Gene Expression
28268	AC135726.1	AC135726.1	Gene Expression
27284	AC135776.1	AC135776.1	Gene Expression
27285	AC135776.2	AC135776.2	Gene Expression
28035	AC135782.1	AC135782.1	Gene Expression
28034	AC135782.2	AC135782.2	Gene Expression
28037	AC135782.3	AC135782.3	Gene Expression
1317	AC135803.1	AC135803.1	Gene Expression
7843	AC135893.1	AC135893.1	Gene Expression
22046	AC135895.1	AC135895.1	Gene Expression
22143	AC136188.1	AC136188.1	Gene Expression
27975	AC136285.1	AC136285.1	Gene Expression
27976	AC136285.2	AC136285.2	Gene Expression
27974	AC136285.3	AC136285.3	Gene Expression
18986	AC136297.1	AC136297.1	Gene Expression
36589	AC136352.2	AC136352.2	Gene Expression
36588	AC136352.3	AC136352.3	Gene Expression
10896	AC136424.1	AC136424.1	Gene Expression
10895	AC136424.2	AC136424.2	Gene Expression
27276	AC136428.1	AC136428.1	Gene Expression
26885	AC136431.1	AC136431.1	Gene Expression
26886	AC136431.2	AC136431.2	Gene Expression
26856	AC136443.3	AC136443.3	Gene Expression
26853	AC136443.4	AC136443.4	Gene Expression
31206	AC136469.1	AC136469.1	Gene Expression
18927	AC136475.1	AC136475.1	Gene Expression
18925	AC136475.2	AC136475.2	Gene Expression
18921	AC136475.3	AC136475.3	Gene Expression
18929	AC136475.4	AC136475.4	Gene Expression
18932	AC136475.5	AC136475.5	Gene Expression
18931	AC136475.7	AC136475.7	Gene Expression
18930	AC136475.8	AC136475.8	Gene Expression
18933	AC136475.9	AC136475.9	Gene Expression
35577	AC136489.1	AC136489.1	Gene Expression
11116	AC136601.1	AC136601.1	Gene Expression
11136	AC136604.2	AC136604.2	Gene Expression
11139	AC136604.3	AC136604.3	Gene Expression
36593	AC136612.1	AC136612.1	Gene Expression
36594	AC136616.1	AC136616.1	Gene Expression
36596	AC136616.2	AC136616.2	Gene Expression
36595	AC136616.3	AC136616.3	Gene Expression
26901	AC136618.1	AC136618.1	Gene Expression
26879	AC136624.1	AC136624.1	Gene Expression
26881	AC136624.2	AC136624.2	Gene Expression
11133	AC136628.1	AC136628.1	Gene Expression
11134	AC136628.4	AC136628.4	Gene Expression
26172	AC136698.1	AC136698.1	Gene Expression
14708	AC136777.1	AC136777.1	Gene Expression
27271	AC136944.1	AC136944.1	Gene Expression
27272	AC136944.2	AC136944.2	Gene Expression
27273	AC136944.4	AC136944.4	Gene Expression
26941	AC137056.1	AC137056.1	Gene Expression
27376	AC137494.1	AC137494.1	Gene Expression
21350	AC137561.1	AC137561.1	Gene Expression
15165	AC137579.1	AC137579.1	Gene Expression
15164	AC137579.2	AC137579.2	Gene Expression
22865	AC137590.1	AC137590.1	Gene Expression
22866	AC137590.2	AC137590.2	Gene Expression
6438	AC137630.1	AC137630.1	Gene Expression
6437	AC137630.2	AC137630.2	Gene Expression
6445	AC137630.3	AC137630.3	Gene Expression
6439	AC137630.4	AC137630.4	Gene Expression
7126	AC137695.3	AC137695.3	Gene Expression
29743	AC137735.1	AC137735.1	Gene Expression
29745	AC137735.2	AC137735.2	Gene Expression
29744	AC137735.3	AC137735.3	Gene Expression
27251	AC137761.1	AC137761.1	Gene Expression
10728	AC137770.1	AC137770.1	Gene Expression
9685	AC137810.1	AC137810.1	Gene Expression
21952	AC137834.2	AC137834.2	Gene Expression
18942	AC137894.1	AC137894.1	Gene Expression
18941	AC137894.3	AC137894.3	Gene Expression
28047	AC137932.1	AC137932.1	Gene Expression
28048	AC137932.2	AC137932.2	Gene Expression
28046	AC137932.3	AC137932.3	Gene Expression
6622	AC137936.1	AC137936.1	Gene Expression
2980	AC138024.1	AC138024.1	Gene Expression
28024	AC138028.1	AC138028.1	Gene Expression
28022	AC138028.2	AC138028.2	Gene Expression
28017	AC138028.3	AC138028.3	Gene Expression
28021	AC138028.4	AC138028.4	Gene Expression
28023	AC138028.5	AC138028.5	Gene Expression
28019	AC138028.6	AC138028.6	Gene Expression
11186	AC138035.1	AC138035.1	Gene Expression
11187	AC138035.2	AC138035.2	Gene Expression
6641	AC138057.1	AC138057.1	Gene Expression
3394	AC138089.1	AC138089.1	Gene Expression
22283	AC138123.1	AC138123.1	Gene Expression
22284	AC138123.2	AC138123.2	Gene Expression
29262	AC138150.1	AC138150.1	Gene Expression
29264	AC138150.2	AC138150.2	Gene Expression
28784	AC138207.1	AC138207.1	Gene Expression
28790	AC138207.2	AC138207.2	Gene Expression
28788	AC138207.4	AC138207.4	Gene Expression
28785	AC138207.5	AC138207.5	Gene Expression
28789	AC138207.7	AC138207.7	Gene Expression
28786	AC138207.9	AC138207.9	Gene Expression
18939	AC138230.1	AC138230.1	Gene Expression
