source_row	gene_id	gene_symbol	feature_type
13855	AC000120.1	AC000120.1	Gene Expression
14222	AC000123.1	AC000123.1	Gene Expression
14223	AC000124.1	AC000124.1	Gene Expression
14216	AC000372.1	AC000372.1	Gene Expression
23373	AC000403.1	AC000403.1	Gene Expression
23378	AC001226.1	AC001226.1	Gene Expression
27747	AC002044.1	AC002044.1	Gene Expression
35299	AC002056.2	AC002056.2	Gene Expression
14219	AC002057.1	AC002057.1	Gene Expression
14218	AC002057.2	AC002057.2	Gene Expression
34806	AC002059.1	AC002059.1	Gene Expression
13837	AC002064.1	AC002064.1	Gene Expression
13836	AC002064.2	AC002064.2	Gene Expression
14142	AC002066.1	AC002066.1	Gene Expression
13827	AC002069.2	AC002069.2	Gene Expression
22626	AC002070.1	AC002070.1	Gene Expression
36061	AC002072.1	AC002072.1	Gene Expression
13880	AC002074.1	AC002074.1	Gene Expression
13881	AC002074.2	AC002074.2	Gene Expression
13874	AC002076.1	AC002076.1	Gene Expression
28393	AC002091.1	AC002091.1	Gene Expression
28392	AC002091.2	AC002091.2	Gene Expression
28682	AC002094.2	AC002094.2	Gene Expression
28686	AC002094.4	AC002094.4	Gene Expression
17374	AC002101.1	AC002101.1	Gene Expression
31883	AC002115.1	AC002115.1	Gene Expression
31915	AC002116.2	AC002116.2	Gene Expression
31860	AC002128.1	AC002128.1	Gene Expression
31859	AC002128.2	AC002128.2	Gene Expression
31642	AC002306.1	AC002306.1	Gene Expression
27163	AC002310.1	AC002310.1	Gene Expression
27166	AC002310.2	AC002310.2	Gene Expression
27037	AC002331.1	AC002331.1	Gene Expression
28424	AC002347.1	AC002347.1	Gene Expression
28426	AC002347.2	AC002347.2	Gene Expression
22505	AC002351.1	AC002351.1	Gene Expression
36295	AC002368.1	AC002368.1	Gene Expression
22501	AC002375.1	AC002375.1	Gene Expression
36133	AC002377.1	AC002377.1	Gene Expression
34827	AC002378.1	AC002378.1	Gene Expression
13830	AC002383.1	AC002383.1	Gene Expression
14107	AC002386.1	AC002386.1	Gene Expression
31900	AC002398.1	AC002398.1	Gene Expression
31897	AC002398.2	AC002398.2	Gene Expression
29414	AC002401.1	AC002401.1	Gene Expression
29411	AC002401.2	AC002401.2	Gene Expression
29410	AC002401.3	AC002401.3	Gene Expression
29408	AC002401.4	AC002401.4	Gene Expression
36192	AC002407.1	AC002407.1	Gene Expression
10525	AC002428.1	AC002428.1	Gene Expression
10524	AC002428.2	AC002428.2	Gene Expression
13887	AC002429.2	AC002429.2	Gene Expression
13894	AC002451.1	AC002451.1	Gene Expression
13866	AC002454.1	AC002454.1	Gene Expression
13842	AC002456.1	AC002456.1	Gene Expression
13843	AC002458.1	AC002458.1	Gene Expression
9038	AC002460.1	AC002460.1	Gene Expression
9036	AC002460.2	AC002460.2	Gene Expression
14121	AC002463.1	AC002463.1	Gene Expression
12434	AC002464.1	AC002464.1	Gene Expression
14158	AC002465.1	AC002465.1	Gene Expression
14159	AC002465.2	AC002465.2	Gene Expression
14093	AC002467.1	AC002467.1	Gene Expression
34538	AC002470.1	AC002470.1	Gene Expression
34544	AC002472.1	AC002472.1	Gene Expression
13243	AC002480.1	AC002480.1	Gene Expression
13244	AC002480.2	AC002480.2	Gene Expression
31871	AC002511.1	AC002511.1	Gene Expression
31870	AC002511.2	AC002511.2	Gene Expression
27235	AC002519.1	AC002519.1	Gene Expression
14168	AC002529.1	AC002529.1	Gene Expression
14156	AC002542.6	AC002542.6	Gene Expression
29702	AC002546.1	AC002546.1	Gene Expression
26930	AC002550.1	AC002550.1	Gene Expression
26928	AC002550.2	AC002550.2	Gene Expression
27053	AC002551.1	AC002551.1	Gene Expression
28500	AC002553.1	AC002553.1	Gene Expression
28498	AC002553.2	AC002553.2	Gene Expression
29306	AC002558.2	AC002558.2	Gene Expression
29305	AC002558.3	AC002558.3	Gene Expression
22630	AC002563.1	AC002563.1	Gene Expression
35905	AC003001.1	AC003001.1	Gene Expression
32812	AC003005.2	AC003005.2	Gene Expression
26835	AC003009.1	AC003009.1	Gene Expression
35393	AC003035.1	AC003035.1	Gene Expression
35392	AC003035.2	AC003035.2	Gene Expression
29231	AC003043.1	AC003043.1	Gene Expression
29227	AC003043.2	AC003043.2	Gene Expression
13267	AC003044.1	AC003044.1	Gene Expression
29273	AC003070.1	AC003070.1	Gene Expression
29271	AC003070.2	AC003070.2	Gene Expression
14115	AC003077.1	AC003077.1	Gene Expression
14165	AC003084.1	AC003084.1	Gene Expression
13849	AC003086.1	AC003086.1	Gene Expression
13264	AC003087.1	AC003087.1	Gene Expression
13878	AC003092.1	AC003092.1	Gene Expression
13879	AC003092.2	AC003092.2	Gene Expression
13270	AC003093.1	AC003093.1	Gene Expression
29202	AC003098.1	AC003098.1	Gene Expression
28798	AC003101.1	AC003101.1	Gene Expression
28797	AC003101.2	AC003101.2	Gene Expression
29225	AC003102.1	AC003102.1	Gene Expression
35491	AC003659.1	AC003659.1	Gene Expression
35365	AC003666.1	AC003666.1	Gene Expression
34824	AC003681.1	AC003681.1	Gene Expression
32821	AC003682.1	AC003682.1	Gene Expression
35357	AC003684.1	AC003684.1	Gene Expression
35354	AC003685.1	AC003685.1	Gene Expression
28835	AC003687.1	AC003687.1	Gene Expression
28308	AC003688.2	AC003688.2	Gene Expression
29499	AC003950.1	AC003950.1	Gene Expression
31464	AC003956.1	AC003956.1	Gene Expression
29099	AC003958.2	AC003958.2	Gene Expression
26632	AC003965.1	AC003965.1	Gene Expression
26631	AC003965.2	AC003965.2	Gene Expression
31684	AC003973.1	AC003973.1	Gene Expression
14215	AC003975.1	AC003975.1	Gene Expression
22643	AC003982.1	AC003982.1	Gene Expression
13803	AC003984.1	AC003984.1	Gene Expression
13276	AC003985.1	AC003985.1	Gene Expression
13220	AC003986.1	AC003986.1	Gene Expression
13218	AC003986.2	AC003986.2	Gene Expression
13219	AC003986.3	AC003986.3	Gene Expression
13790	AC003988.1	AC003988.1	Gene Expression
13825	AC003991.1	AC003991.1	Gene Expression
13824	AC003991.2	AC003991.2	Gene Expression
14132	AC003992.1	AC003992.1	Gene Expression
36090	AC004000.1	AC004000.1	Gene Expression
13319	AC004009.1	AC004009.1	Gene Expression
13892	AC004012.1	AC004012.1	Gene Expression
14106	AC004014.1	AC004014.1	Gene Expression
13811	AC004023.1	AC004023.1	Gene Expression
26635	AC004034.1	AC004034.1	Gene Expression
10459	AC004039.1	AC004039.1	Gene Expression
8719	AC004047.1	AC004047.1	Gene Expression
8721	AC004052.1	AC004052.1	Gene Expression
8725	AC004053.1	AC004053.1	Gene Expression
8635	AC004054.1	AC004054.1	Gene Expression
8724	AC004063.1	AC004063.1	Gene Expression
8731	AC004066.2	AC004066.2	Gene Expression
8766	AC004067.1	AC004067.1	Gene Expression
8727	AC004069.1	AC004069.1	Gene Expression
32809	AC004076.2	AC004076.2	Gene Expression
13316	AC004080.1	AC004080.1	Gene Expression
13315	AC004080.17	AC004080.17	Gene Expression
13312	AC004080.2	AC004080.2	Gene Expression
13306	AC004080.4	AC004080.4	Gene Expression
15631	AC004083.1	AC004083.1	Gene Expression
14118	AC004112.1	AC004112.1	Gene Expression
13275	AC004129.3	AC004129.3	Gene Expression
13232	AC004130.2	AC004130.2	Gene Expression
28846	AC004147.1	AC004147.1	Gene Expression
28849	AC004147.2	AC004147.2	Gene Expression
28848	AC004147.3	AC004147.3	Gene Expression
28847	AC004147.5	AC004147.5	Gene Expression
28260	AC004148.1	AC004148.1	Gene Expression
30881	AC004156.1	AC004156.1	Gene Expression
27742	AC004158.1	AC004158.1	Gene Expression
13170	AC004160.1	AC004160.1	Gene Expression
