sample_id	completed_utc	elapsed_seconds	peak_rss_bytes	requested_threads	stage	system_cpu_seconds	user_cpu_seconds
GSM8700986	2026-09-06T20:33:45.077581+00:00	0.357165417168	98516992	2	acquire	0.095554	0.630346
GSM8700986	2026-09-06T20:34:13.408651+00:00	15.6669032502	874496000	4	convert	0.343933	16.216228
GSM8700986	2026-09-06T20:42:39.510558+00:00	2.92640412506	805486592	4	export	0.277879	2.927716
GSM8700986		1.75945649995	1197031424		independent_verification		
GSM8700986	2026-09-06T20:42:11.052033+00:00	0.509408083046	517718016	4	qc	0.165684	0.691748
GSM8700987	2026-09-06T20:33:45.069420+00:00	0.348788165953	99057664	2	acquire	0.096943	0.624005
GSM8700987	2026-09-06T20:34:28.935273+00:00	14.834513	816873472	4	convert	0.349309	15.413712
GSM8700987	2026-09-06T20:42:42.874070+00:00	2.82683291705	791609344	4	export	0.270124	2.853805
GSM8700987		1.74029104086	1161986048		independent_verification		
GSM8700987	2026-09-06T20:42:12.011621+00:00	0.443522333866	504856576	4	qc	0.121128	0.686336
GSM8700988	2026-09-06T20:33:46.082359+00:00	0.471951582935	97976320	2	acquire	0.108351	0.73678
GSM8700988	2026-09-06T20:35:05.128366+00:00	20.3083643341	1026048000	4	convert	0.44078	20.970514
GSM8700988	2026-09-06T20:42:50.336690+00:00	3.66448245896	1002946560	4	export	0.310514	3.661999
GSM8700988		2.26747829188	1485193216		independent_verification		
GSM8700988	2026-09-06T20:42:13.970698+00:00	0.567353290971	643858432	4	qc	0.153682	0.751386
GSM8700989	2026-09-06T20:33:46.952496+00:00	0.474373959005	102006784	2	acquire	0.115148	0.743385
GSM8700989	2026-09-06T20:35:25.624990+00:00	19.821948	1030193152	4	convert	0.399417	20.639344
GSM8700989	2026-09-06T20:42:54.474601+00:00	3.58412470901	1004732416	4	export	0.282443	3.640553
GSM8700989		2.21874149982	1431126016		independent_verification		
GSM8700989	2026-09-06T20:42:15.011091+00:00	0.52633475	639156224	4	qc	0.133768	0.742707
GSM8700990	2026-09-06T20:33:48.223527+00:00	0.626973791979	100401152	2	acquire	0.144344	0.909614
GSM8700990	2026-09-06T20:36:27.666383+00:00	26.2810574169	1265680384	4	convert	0.433738	27.422283
GSM8700990	2026-09-06T20:43:08.578951+00:00	5.67487879097	1233371136	4	export	0.670421	4.963454
GSM8700990		2.87611275003	1855815680		independent_verification		
GSM8700990	2026-09-06T20:42:18.290894+00:00	0.746948292013	798392320	4	qc	0.171267	0.914163
GSM8700991	2026-09-06T20:33:47.028704+00:00	0.404925832991	100777984	2	acquire	0.108953	0.67333
GSM8700991	2026-09-06T20:35:43.478976+00:00	17.1619333751	925532160	4	convert	0.342129	17.922297
GSM8700991	2026-09-06T20:42:58.279459+00:00	3.23735858314	874987520	4	export	0.29484	3.250633
GSM8700991		1.93301216699	1315602432		independent_verification		
GSM8700991	2026-09-06T20:42:15.940614+00:00	0.436519874958	570425344	4	qc	0.1231	0.669595
GSM8700992	2026-09-06T20:33:48.061813+00:00	0.402272332925	97140736	2	acquire	0.121622	0.690719
GSM8700992	2026-09-06T20:36:00.716846+00:00	16.561826417	912211968	4	convert	0.293334	17.42859
GSM8700992	2026-09-06T20:43:02.293985+00:00	3.47993991594	857604096	4	export	0.381438	3.18915
GSM8700992		1.93444937491	1272365056		independent_verification		
GSM8700992	2026-09-06T20:42:17.034183+00:00	0.499187583104	556318720	4	qc	0.14565	0.722049
GSM8700993	2026-09-06T20:33:49.001531+00:00	0.408412708901	101040128	2	acquire	0.11109	0.66193
GSM8700993	2026-09-06T20:36:44.613832+00:00	16.276903	879476736	4	convert	0.301349	17.074401
GSM8700993	2026-09-06T20:43:12.304880+00:00	3.14308929187	846282752	4	export	0.323133	3.110274
GSM8700993		1.90921704215	1269088256		independent_verification		
GSM8700993	2026-09-06T20:42:19.238854+00:00	0.453884041868	546127872	4	qc	0.116711	0.696528
GSM8700994	2026-09-06T20:33:49.093898+00:00	0.325354834087	99663872	2	acquire	0.104439	0.586237
GSM8700994	2026-09-06T20:36:57.535157+00:00	12.2788487501	764035072	4	convert	0.26988	13.004472
GSM8700994	2026-09-06T20:43:15.372664+00:00	2.53860570816	709787648	4	export	0.27652	2.589206
GSM8700994		1.50134891691	1046282240		independent_verification		
GSM8700994	2026-09-06T20:42:20.053265+00:00	0.330622874899	457211904	4	qc	0.106682	0.582628
GSM8700995	2026-09-06T20:33:49.981568+00:00	0.421978292055	97255424	2	acquire	0.107758	0.701453
GSM8700995	2026-09-06T20:37:16.312931+00:00	18.1025662089	972046336	4	convert	0.33981	18.92947
GSM8700995	2026-09-06T20:43:19.385205+00:00	3.45533779194	912752640	4	export	0.326572	3.398829
